"","year","month","month.year","policy01","policy02","policy03","policy04","policy05","policy06","policy07","policy08","policy09","policy10","policy11","policy12","policy13","policy14","policy15","policy16","policy17","policy18","policy19","policy20","policy21","policy22","policy23","total.attention","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","entropy","herfindahl","date","entropy.ma3","entropy.ma6","epu"
"22",1986,7,Jul 1986,8,4,20,6,6,2,11,6,4,8,0,6,3,0,10,8,6,9,10,17,15,0,0,159,0.050314465408805,0.0251572327044025,0.125786163522013,0.0377358490566038,0.0377358490566038,0.0125786163522013,0.0691823899371069,0.0377358490566038,0.0251572327044025,0.050314465408805,0,0.0377358490566038,0.0188679245283019,0,0.0628930817610063,0.050314465408805,0.0377358490566038,0.0566037735849057,0.0628930817610063,0.106918238993711,0.0943396226415094,0,0,0.92055272453251,0.0219769787587516,1986-07-01,0.920603722231272,0.925276840337129,132.1196289
"23",1986,8,Aug 1986,3,2,8,4,2,0,5,1,1,4,0,9,2,3,3,4,1,6,3,8,12,0,0,81,0.037037037037037,0.0246913580246914,0.0987654320987654,0.0493827160493827,0.0246913580246914,0,0.0617283950617284,0.0123456790123457,0.0123456790123457,0.0493827160493827,0,0.111111111111111,0.0246913580246914,0.037037037037037,0.037037037037037,0.0493827160493827,0.0123456790123457,0.0740740740740741,0.037037037037037,0.0987654320987654,0.148148148148148,0,0,0.893366840244965,0.0320987654320988,1986-08-01,0.923921574637072,0.920885874561653,127.5524902
"24",1986,9,Sep 1986,5,10,6,5,6,2,10,5,2,5,0,6,3,4,7,7,4,4,8,22,10,0,0,131,0.0381679389312977,0.0763358778625954,0.0458015267175573,0.0381679389312977,0.0458015267175573,0.0152671755725191,0.0763358778625954,0.0381679389312977,0.0152671755725191,0.0381679389312977,0,0.0458015267175573,0.0229007633587786,0.0305343511450382,0.0534351145038168,0.0534351145038168,0.0305343511450382,0.0305343511450382,0.0610687022900763,0.16793893129771,0.0763358778625954,0,0,0.92908115034603,0.024584814404755,1986-09-01,0.906959782388737,0.915113672514383,132.0183258
"14",1986,10,Oct 1986,0,2,4,1,0,0,1,0,0,1,0,2,1,1,2,1,1,4,7,2,1,0,0,31,0,0.0645161290322581,0.129032258064516,0.032258064516129,0,0,0.032258064516129,0,0,0.032258064516129,0,0.0645161290322581,0.032258064516129,0.032258064516129,0.0645161290322581,0.032258064516129,0.032258064516129,0.129032258064516,0.225806451612903,0.0645161290322581,0.032258064516129,0,0,0.807337805378495,0.0647242455775234,1986-10-01,0.911223995295498,0.91684163191721,111.5092621
"15",1986,11,Nov 1986,0,1,1,0,0,1,1,2,0,1,0,1,0,1,2,2,0,2,0,0,0,0,0,15,0,0.0666666666666667,0.0666666666666667,0,0,0.0666666666666667,0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0.133333333333333,0.133333333333333,0,0.133333333333333,0,0,0,0,0,0.768058620895603,0.0573333333333333,1986-11-01,0.868209477862263,0.895525789048727,115.0202866
"16",1986,12,Dec 1986,0,1,1,0,0,0,1,1,1,2,0,0,2,1,2,1,1,0,1,0,0,0,0,15,0,0.0666666666666667,0.0666666666666667,0,0,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.133333333333333,0,0,0.133333333333333,0.0666666666666667,0.133333333333333,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0,0,0,0,0.798414654055197,0.048,1986-12-01,0.787698213137049,0.863679428279521,108.9681091
"25",1987,1,Jan 1987,8,0,11,0,1,1,2,3,0,3,0,1,4,1,7,5,2,4,2,1,1,0,0,57,0.140350877192982,0,0.192982456140351,0,0.0175438596491228,0.0175438596491228,0.0350877192982456,0.0526315789473684,0,0.0526315789473684,0,0.0175438596491228,0.0701754385964912,0.0175438596491228,0.12280701754386,0.087719298245614,0.0350877192982456,0.0701754385964912,0.0350877192982456,0.0175438596491228,0.0175438596491228,0,0,0.829399053584398,0.0556786703601108,1987-01-01,0.7832366374754,0.839251814184058,122.1142731
"29",1987,2,Feb 1987,8,4,9,8,5,8,9,7,0,9,0,9,9,6,9,18,7,15,14,16,21,0,0,191,0.0418848167539267,0.0209424083769634,0.0471204188481675,0.0418848167539267,0.0261780104712042,0.0418848167539267,0.0471204188481675,0.0366492146596859,0,0.0471204188481675,0,0.0471204188481675,0.0471204188481675,0.031413612565445,0.0471204188481675,0.0942408376963351,0.0366492146596859,0.0785340314136126,0.0732984293193717,0.0837696335078534,0.109947643979058,0,0,0.937485206709349,0.0160549327046956,1987-02-01,0.813906853819798,0.826458256851945,109.1452408
"30",1987,3,Mar 1987,8,5,22,19,14,12,13,15,1,14,0,16,9,7,16,34,7,18,21,33,20,0,0,304,0.0263157894736842,0.0164473684210526,0.0723684210526316,0.0625,0.0460526315789474,0.0394736842105263,0.0427631578947368,0.0493421052631579,0.00328947368421053,0.0460526315789474,0,0.0526315789473684,0.0296052631578947,0.0230263157894737,0.0526315789473684,0.111842105263158,0.0230263157894737,0.0592105263157895,0.0690789473684211,0.108552631578947,0.0657894736842105,0,0,0.934347263132242,0.0177837171052632,1987-03-01,0.883442130146874,0.828139068124609,122.0848694
"31",1987,4,Apr 1987,5,8,24,16,11,4,20,7,3,10,0,10,8,7,21,16,10,6,8,23,12,0,0,229,0.0218340611353712,0.0349344978165939,0.104803493449782,0.0698689956331878,0.0480349344978166,0.0174672489082969,0.0873362445414847,0.0305676855895196,0.0131004366812227,0.0436681222707424,0,0.0436681222707424,0.0349344978165939,0.0305676855895196,0.091703056768559,0.0698689956331878,0.0436681222707424,0.0262008733624454,0.0349344978165939,0.100436681222707,0.0524017467248908,0,0,0.93703805352472,0.0180564825232166,1987-04-01,0.935916234920796,0.853540959675358,110.8597183
